periodo,id_tweet,data_tweet,data_coleta,texto_original,texto_limpo,comprimento,sentimento,polaridade,felicidade_%,concordancia_%,topicos,relevancia_score,likes,retweets,respostas,engajamento_total
Evento,2019399114056990902,2026-02-05 13:14:02+00:00,2026-02-06 12:18:50,"@SidnelsonEu Ganha assistindo anúncios

Taxa de pagamento atual: R$ 0,12 a R$ 0,28 por anúncio
Clique no botão abaixo para começar a assistir aos anúncios

https://t.co/2jTzqqRuAD",ganha assistindo anúncios taxa de pagamento atual  r  0 12 a r  0 28 por anúncio clique no botão abaixo para começar a assistir aos anúncios,140,Negativo,-0.24,50,50,Impostos,15,0,0,0,0.0
Evento,2019399434111762861,2026-02-05 13:15:18+00:00,2026-02-06 12:18:50,"@ThayzzySmith Ganha assistindo anúncios

Taxa de pagamento atual: R$ 0,12 a R$ 0,28 por anúncio
Clique no botão abaixo para começar a assistir aos anúncios

https://t.co/2jTzqqRuAD",ganha assistindo anúncios taxa de pagamento atual  r  0 12 a r  0 28 por anúncio clique no botão abaixo para começar a assistir aos anúncios,140,Negativo,-0.24,50,50,Impostos,15,0,0,0,0.0
Evento,2019399493754712412,2026-02-05 13:15:32+00:00,2026-02-06 12:18:50,"@chatopalestra Ganha assistindo anúncios

Taxa de pagamento atual: R$ 0,12 a R$ 0,28 por anúncio
Clique no botão abaixo para começar a assistir aos anúncios

https://t.co/2jTzqqRuAD",ganha assistindo anúncios taxa de pagamento atual  r  0 12 a r  0 28 por anúncio clique no botão abaixo para começar a assistir aos anúncios,140,Negativo,-0.24,50,50,Impostos,15,0,0,0,0.0
