periodo,id_tweet,data_tweet,data_coleta,texto_original,texto_limpo,comprimento,sentimento,polaridade,felicidade_%,concordancia_%,topicos,relevancia_score,likes,retweets,respostas,engajamento_total
Pré-Evento,2019071341459013837,2026-02-04 15:31:34+00:00,2026-02-06 12:18:50,"@hogopaiva @acgfbr fico me perguntando se seria possível fazer um marketing clássico por meio desses emails, no estilo das sales letters antigas msm. o custo de envio é infinitamente mais baixo do q anúncios, então qualquer conversão já dá lucro, oq compensa a taxa de abertura baixa",fico me perguntando se seria possível fazer um marketing clássico por meio desses emails  no estilo das sales letters antigas msm  o custo de envio é infinitamente mais baixo do q anúncios  então qualquer conversão já dá lucro  oq compensa a taxa de abertura baixa,264,Negativo,-0.24,50,50,"Impostos, Preços",22,0,0,2,4.0
Pré-Evento,2019080709055340673,2026-02-04 16:08:48+00:00,2026-02-06 12:18:50,"@armeninho012 @Centraldoocec O Atletico faturou em 2024 680 milhões, recorde absoluto de Minas e quase o dobro do segundo colocado. 
EM 2025 FATUROU MAIS POIS VENDEU PUBLICIDADE, E FEZ VÁRIOS EVENTOS NA ARENA. 
JÁ TE FALEI, ESSA É A DIFERENÇA DE TER CASA. 
COMO VC ACHA QUE A MINAS ARENA FATURA NO MINEIRÃO.",o atletico faturou em 2024 680 milhões  recorde absoluto de minas e quase o dobro do segundo colocado  em 2025 faturou mais pois vendeu publicidade  e fez vários eventos na arena  já te falei  essa é a diferença de ter casa  como vc acha que a minas arena fatura no mineirão,274,Neutro,0.0,50,50,Geral,15,0,0,1,2.0
Pré-Evento,2019373460548673840,2026-02-05 11:32:05+00:00,2026-02-06 12:18:50,"@plarajeirass @welfare_flu Obrigado pela audiência Mané, depois não entende porque o Flamengo fatura milhões em publicidade, patrocínio e TV.",obrigado pela audiência mané  depois não entende porque o flamengo fatura milhões em publicidade  patrocínio e tv,113,Neutro,0.0,50,40,Geral,15,0,0,0,0.0
